session,bars,bars_in_trade,trades_entered,gate_open_pct,session_pnl,sharpe_intra,beta,hl_median
2024-06-11,386,2,2,0.013,-0.2928,-2.4865,1.001752,2.18
2024-06-12,388,0,0,0.0103,-0.1008,-2.5489,1.002153,3.88
2024-06-13,384,1,1,0.0052,-0.0988,-1.7295,1.002202,6.89
2024-06-14,381,2,2,0.0131,-0.1982,-2.5097,1.002248,3.29
2024-06-17,383,13,10,0.0679,-1.2236,-4.7132,1.002078,2.05
2024-06-18,388,4,2,0.0309,-0.2263,-3.213,1.002062,2.17
2024-06-20,387,4,3,0.0258,-0.2933,-3.0925,1.002396,2.24
2024-06-21,387,9,7,0.0982,-0.972,-5.8938,1.00277,2.4
2024-06-24,384,2,2,0.0156,-0.1268,-2.2253,1.002955,4.79
2024-06-25,374,6,6,0.0481,-0.5132,-4.317,1.002935,2.74
2024-06-26,385,4,4,0.0156,-0.266,-3.0091,1.003125,10.61
2024-06-27,376,7,4,0.0452,-0.4206,-3.6089,1.002639,2.72
2024-06-28,379,0,0,0.0,0.0,0.0,1.00258,20.0
2024-07-01,383,16,6,0.0757,-0.7017,-4.4292,1.002433,2.23
2024-07-02,387,4,4,0.0129,-0.3421,-2.6856,1.002407,3.61
2024-07-03,216,8,5,0.0556,-0.4609,-5.1558,1.002262,2.64
2024-07-05,388,6,3,0.0309,-0.31,-3.1998,1.001884,2.64
2024-07-08,384,4,3,0.026,-0.2893,-3.2719,1.000361,3.3
2024-07-09,379,5,3,0.0422,-0.2649,-3.6511,0.998621,2.41
2024-07-10,378,6,4,0.0212,-0.2657,-2.7481,0.998344,13.17
2024-07-11,383,0,0,0.0026,-0.0394,-1.4214,0.998105,3.83
2024-07-12,380,16,9,0.0763,-1.0026,-4.6579,0.998175,3.29
2024-07-15,387,2,2,0.0439,-0.3445,-4.3879,0.99798,2.27
2024-07-16,391,14,11,0.0895,-1.1866,-5.7438,0.997719,2.8
2024-07-17,389,14,10,0.0566,-0.7214,-4.6949,0.997951,2.69
2024-07-18,390,4,2,0.0103,-0.143,-2.3635,0.997897,3.35
2024-07-19,390,7,5,0.0513,-0.6432,-4.0355,0.997908,4.47
2024-07-22,382,1,1,0.0105,-0.113,-2.1221,0.997895,2.72
2024-07-23,378,4,4,0.0238,-0.1994,-3.1074,0.997884,3.32
2024-07-24,386,5,2,0.0233,-0.2137,-2.5648,0.997863,4.03
2024-07-25,389,16,8,0.0823,-0.6778,-4.8445,0.997852,2.13
2024-07-26,382,7,6,0.0262,-0.4649,-2.9977,0.998087,2.01
2024-07-29,385,11,9,0.0571,-1.0147,-4.7492,0.998125,2.88
2024-07-30,387,1,1,0.0129,-0.1418,-2.5608,0.998273,3.46
2024-07-31,389,3,2,0.0077,-0.1409,-2.026,0.99853,2.39
2024-08-01,387,6,3,0.031,-0.3077,-2.8513,0.998731,7.52
2024-08-02,391,6,5,0.046,-0.483,-3.827,0.999102,2.71
2024-08-05,391,3,3,0.0281,-0.3104,-3.2258,0.999154,2.61
2024-08-06,390,12,9,0.0564,-0.7276,-4.8973,0.999346,2.6
